Transaction_Amount,Merchant_Category,User_Country,Transaction_Country,Device_Type,Transaction_Day,User_Avg_Spend,User_Transaction_Frequency,status,Is_Fraud
17390,Adult websites,Spain,India,Tablet,Weekend,3275,6,1,Fraud
12981,Department stores,Argentina,Pakistan,Tablet,Weekend,9326,8,1,Fraud
26928,Bitcoin exchanges,India,Nigeria,Laptop,Weekday,5991,5,1,Fraud
5590,Taxi services,Italy,Italy,Tablet,Weekday,4161,2,0,No Fraud
14912,Airlines,Russia,Philippines,Laptop,Weekday,4236,1,1,Fraud
19564,Bakeries,Italy,Pakistan,Laptop,Weekday,2715,8,1,Fraud
3553,Grocery stores,Germany,Germany,Laptop,Weekend,2224,1,0,No Fraud
10664,Grocery stores,China,China,Tablet,Weekend,7811,1,0,No Fraud
3409,Department stores,Argentina,Argentina,Tablet,Weekend,6120,2,0,No Fraud
10364,Clothing stores,South Africa,South Africa,Mobile,Weekday,7473,2,0,No Fraud
3295,Grocery stores,Japan,Japan,Laptop,Weekday,2769,1,1,Fraud
11738,Bakeries,Japan,Nigeria,Mobile,Weekday,7420,7,1,Fraud
16550,Grocery stores,Japan,Pakistan,Tablet,Weekday,8672,9,1,Fraud
12772,Grocery stores,South Korea,South Korea,Laptop,Weekday,9470,1,0,No Fraud
17961,Bitcoin exchanges,China,Indonesia,Mobile,Weekday,7442,9,1,Fraud
17406,Liquor stores,Mexico,Mexico,Laptop,Weekend,6972,5,1,Fraud
15536,Department stores,Japan,Philippines,Laptop,Weekend,6648,6,1,Fraud
7882,Clothing stores,Australia,Australia,Mobile,Weekend,9683,1,0,No Fraud
3863,Liquor stores,Brazil,Brazil,Laptop,Weekday,4233,2,1,Fraud
6813,Taxi services,America,America,Mobile,Weekday,4331,2,0,No Fraud
6391,Bakeries,Italy,Italy,Laptop,Weekday,5471,2,0,No Fraud
8934,Clothing stores,Spain,South Africa,Tablet,Weekend,6926,6,1,Fraud
16009,Clothing stores,Germany,Mexico,Mobile,Weekday,2857,9,1,Fraud
6820,Bakeries,Australia,Australia,Mobile,Weekday,6624,1,0,No Fraud
15642,Clothing stores,Italy,Italy,Mobile,Weekend,8981,1,0,No Fraud
6562,Taxi services,Brazil,Brazil,Tablet,Weekday,5372,2,0,No Fraud
24716,Adult websites,India,Vietnam,Tablet,Weekend,6538,5,1,Fraud
23068,Department stores,America,South Africa,Laptop,Weekend,9436,10,1,Fraud
6832,Clothing stores,Kenya,Kenya,Mobile,Weekday,7570,2,0,No Fraud
5804,Clothing stores,Mexico,Mexico,Laptop,Weekday,9724,2,1,Fraud
18036,Liquor stores,South Africa,South Africa,Tablet,Weekday,9906,3,0,No Fraud
19131,Liquor stores,Nigeria,Nigeria,Mobile,Weekday,9855,1,0,No Fraud
23318,Bitcoin exchanges,Mexico,India,Laptop,Weekday,6782,2,1,Fraud
6070,Liquor stores,United Kingdom,United Kingdom,Mobile,Weekend,4182,1,0,No Fraud
6502,Taxi services,Japan,Philippines,Mobile,Weekday,5420,5,1,Fraud
8954,Taxi services,Brazil,Brazil,Tablet,Weekday,6719,1,0,No Fraud
7105,Taxi services,Canada,Canada,Laptop,Weekend,5421,1,1,Fraud
13323,Hotels,Germany,South Africa,Laptop,Weekend,4702,5,1,Fraud
15996,Bakeries,Italy,Italy,Tablet,Weekend,8315,1,0,No Fraud
2547,Clothing stores,India,India,Tablet,Weekday,3924,2,0,No Fraud
2747,Taxi services,Russia,Russia,Tablet,Weekday,2438,1,0,No Fraud
14271,Clothing stores,Mexico,India,Laptop,Weekend,8730,9,1,Fraud
6841,Bakeries,Mexico,Mexico,Mobile,Weekday,5520,2,0,No Fraud
11712,Liquor stores,Japan,Russia,Laptop,Weekday,9950,6,1,Fraud
7583,Grocery stores,South Korea,Vietnam,Laptop,Weekend,2434,10,1,Fraud
9366,Adult websites,Canada,South Africa,Tablet,Weekday,3042,3,1,Fraud
5342,Bitcoin exchanges,Kenya,Kenya,Tablet,Weekend,8229,1,1,Fraud
15185,Department stores,Japan,Japan,Tablet,Weekday,7966,2,0,No Fraud
13765,Taxi services,Italy,Mexico,Tablet,Weekend,9877,3,1,Fraud
14104,Clothing stores,China,Brazil,Mobile,Weekend,4848,2,1,Fraud
3063,Bakeries,China,China,Tablet,Weekday,2494,1,0,No Fraud
9147,Bakeries,South Africa,Mexico,Tablet,Weekend,4617,6,1,Fraud
7991,Hotels,Argentina,Philippines,Laptop,Weekend,5672,3,1,Fraud
20490,Department stores,India,Philippines,Tablet,Weekday,7872,6,1,Fraud
3549,Department stores,Germany,Germany,Laptop,Weekday,4284,2,0,No Fraud
4161,Department stores,Australia,Australia,Tablet,Weekend,3041,2,0,No Fraud
18417,Bakeries,Brazil,Brazil,Tablet,Weekday,9623,2,0,No Fraud
3894,Grocery stores,America,America,Laptop,Weekday,2020,2,0,No Fraud
8764,Department stores,Australia,Australia,Tablet,Weekday,9358,1,0,No Fraud
2194,Liquor stores,South Korea,South Korea,Tablet,Weekend,2858,1,0,No Fraud
12993,Bakeries,Japan,Mexico,Tablet,Weekend,4676,6,1,Fraud
4058,Grocery stores,Nigeria,Nigeria,Tablet,Weekday,3395,1,0,No Fraud
15873,Bitcoin exchanges,Italy,Nigeria,Mobile,Weekend,3724,10,1,Fraud
15960,Bakeries,India,Vietnam,Tablet,Weekend,7010,8,1,Fraud
27021,Clothing stores,France,France,Tablet,Weekend,6477,2,1,Fraud
25881,Bakeries,America,India,Mobile,Weekend,8073,7,1,Fraud
6817,Taxi services,South Africa,South Africa,Mobile,Weekday,4627,1,0,No Fraud
27906,Adult websites,Canada,Nigeria,Laptop,Weekday,4413,7,1,Fraud
7003,Adult websites,Japan,Mexico,Laptop,Weekday,4712,2,1,Fraud
7160,Hotels,Spain,Philippines,Tablet,Weekday,8728,9,1,Fraud
6101,Taxi services,Argentina,Argentina,Tablet,Weekend,5213,1,0,No Fraud
10485,Hotels,Argentina,Indonesia,Tablet,Weekend,4386,7,1,Fraud
6739,Grocery stores,United Kingdom,Nigeria,Tablet,Weekend,9240,5,1,Fraud
8118,Bitcoin exchanges,Italy,Brazil,Mobile,Weekend,3535,2,1,Fraud
6152,Department stores,Spain,Spain,Laptop,Weekend,7588,1,1,Fraud
10518,Grocery stores,France,Nigeria,Mobile,Weekend,6696,2,1,Fraud
10637,Grocery stores,Brazil,Brazil,Tablet,Weekend,8538,1,0,No Fraud
12749,Clothing stores,Nigeria,Nigeria,Mobile,Weekday,6845,2,0,No Fraud
9123,Clothing stores,Nigeria,Nigeria,Tablet,Weekday,5205,2,0,No Fraud
2804,Clothing stores,India,India,Mobile,Weekend,3711,1,0,No Fraud
18513,Bitcoin exchanges,South Africa,Brazil,Tablet,Weekend,8449,1,1,Fraud
9630,Bakeries,Argentina,Argentina,Laptop,Weekday,9381,1,1,Fraud
23075,Clothing stores,Argentina,Nigeria,Mobile,Weekday,5014,5,1,Fraud
28021,Grocery stores,Japan,Philippines,Tablet,Weekend,2767,7,1,Fraud
21303,Hotels,Mexico,Indonesia,Tablet,Weekday,6507,7,1,Fraud
7289,Grocery stores,South Korea,South Korea,Laptop,Weekday,5974,2,1,Fraud
22626,Department stores,America,Mexico,Mobile,Weekday,6324,10,1,Fraud
3592,Taxi services,Argentina,Argentina,Mobile,Weekend,3137,1,0,No Fraud
8729,Bakeries,Kenya,Kenya,Laptop,Weekend,8583,2,1,Fraud
9163,Liquor stores,Japan,Indonesia,Laptop,Weekday,5715,3,1,Fraud
27061,Bakeries,Brazil,Vietnam,Laptop,Weekday,3520,3,1,Fraud
8386,Taxi services,China,China,Laptop,Weekday,4994,1,0,No Fraud
9188,Clothing stores,Nigeria,Nigeria,Tablet,Weekend,8231,2,0,No Fraud
24425,Department stores,Japan,Indonesia,Laptop,Weekday,4365,8,1,Fraud
23469,Taxi services,Italy,Philippines,Laptop,Weekday,9452,2,1,Fraud
12488,Bakeries,America,America,Tablet,Weekend,9864,7,1,Fraud
6570,Bitcoin exchanges,Mexico,Pakistan,Tablet,Weekend,3467,6,1,Fraud
25426,Taxi services,Italy,South Africa,Laptop,Weekday,8685,6,1,Fraud
15624,Adult websites,Germany,Mexico,Tablet,Weekend,2377,5,1,Fraud
24705,Adult websites,India,Nigeria,Mobile,Weekday,7528,9,1,Fraud
15429,Taxi services,United Kingdom,United Kingdom,Tablet,Weekday,8315,2,0,No Fraud
10544,Taxi services,America,Mexico,Laptop,Weekend,7836,2,1,Fraud
5802,Taxi services,America,America,Tablet,Weekend,3491,1,0,No Fraud
21934,Adult websites,Spain,South Africa,Mobile,Weekend,4551,5,1,Fraud
5663,Liquor stores,South Africa,Pakistan,Tablet,Weekend,4207,10,1,Fraud
5179,Department stores,America,America,Laptop,Weekend,3913,1,0,No Fraud
28986,Taxi services,Argentina,India,Laptop,Weekend,4236,3,1,Fraud
3430,Bakeries,Australia,Australia,Mobile,Weekday,5607,2,0,No Fraud
3893,Bakeries,United Kingdom,United Kingdom,Laptop,Weekday,3114,1,0,No Fraud
23853,Grocery stores,Mexico,India,Mobile,Weekday,8368,4,1,Fraud
26481,Hotels,Mexico,Brazil,Tablet,Weekend,3640,5,1,Fraud
7820,Bakeries,Germany,Germany,Tablet,Weekday,5277,2,0,No Fraud
7072,Airlines,South Korea,South Korea,Tablet,Weekend,4425,5,1,Fraud
7640,Liquor stores,Japan,Japan,Laptop,Weekend,3916,1,0,No Fraud
27308,Liquor stores,Kenya,Philippines,Laptop,Weekend,6020,2,1,Fraud
10889,Liquor stores,South Africa,South Africa,Laptop,Weekend,6555,2,0,No Fraud
19238,Bitcoin exchanges,France,Russia,Laptop,Weekend,8439,2,1,Fraud
14132,Bitcoin exchanges,Japan,Philippines,Laptop,Weekday,3060,2,1,Fraud
15004,Adult websites,Argentina,Vietnam,Laptop,Weekday,2611,5,1,Fraud
10304,Grocery stores,Canada,Canada,Tablet,Weekend,8943,1,0,No Fraud
10327,Taxi services,Russia,Russia,Laptop,Weekday,4438,5,0,No Fraud
10375,Grocery stores,Australia,Brazil,Mobile,Weekday,9231,9,1,Fraud
5399,Grocery stores,Canada,Canada,Tablet,Weekend,4709,3,1,Fraud
9460,Department stores,France,Philippines,Laptop,Weekday,2769,1,1,Fraud
5073,Grocery stores,France,France,Laptop,Weekend,6671,1,0,No Fraud
29887,Clothing stores,Brazil,Vietnam,Tablet,Weekend,9703,6,1,Fraud
7182,Bakeries,Argentina,Argentina,Laptop,Weekday,8511,1,1,Fraud
29755,Bakeries,China,Philippines,Mobile,Weekday,8228,1,1,Fraud
12488,Department stores,Argentina,Russia,Tablet,Weekday,8928,1,1,Fraud
21523,Adult websites,Mexico,Nigeria,Tablet,Weekday,4194,6,1,Fraud
18536,Clothing stores,Australia,India,Laptop,Weekday,5639,7,1,Fraud
5070,Liquor stores,Mexico,Mexico,Laptop,Weekend,4474,1,0,No Fraud
14119,Grocery stores,America,Brazil,Laptop,Weekday,8437,7,1,Fraud
25517,Hotels,South Africa,Russia,Tablet,Weekday,7449,5,1,Fraud
16368,Liquor stores,Italy,Philippines,Mobile,Weekday,8217,10,1,Fraud
20348,Bitcoin exchanges,South Africa,Nigeria,Mobile,Weekday,8515,9,1,Fraud
26389,Bitcoin exchanges,Kenya,Brazil,Laptop,Weekday,3868,10,1,Fraud
11895,Clothing stores,Canada,Russia,Laptop,Weekday,9397,5,1,Fraud
29312,Grocery stores,Germany,Vietnam,Tablet,Weekend,2965,7,1,Fraud
20192,Bakeries,Kenya,Vietnam,Laptop,Weekend,8167,5,1,Fraud
2931,Liquor stores,France,France,Mobile,Weekday,3992,1,0,No Fraud
29445,Adult websites,United Kingdom,Philippines,Laptop,Weekend,8669,6,1,Fraud
3958,Department stores,Japan,Japan,Tablet,Weekday,5530,2,0,No Fraud
10479,Department stores,South Africa,South Africa,Mobile,Weekend,9518,1,0,No Fraud
17992,Grocery stores,Nigeria,Pakistan,Laptop,Weekend,7886,10,1,Fraud
10479,Taxi services,France,France,Tablet,Weekday,9943,1,0,No Fraud
28025,Adult websites,China,Philippines,Laptop,Weekday,3744,4,1,Fraud
6056,Taxi services,India,India,Tablet,Weekday,9177,2,0,No Fraud
12324,Department stores,America,America,Tablet,Weekend,8580,2,0,No Fraud
16149,Airlines,France,Indonesia,Mobile,Weekday,7691,8,1,Fraud
24676,Bakeries,Japan,Russia,Mobile,Weekday,7260,3,1,Fraud
10210,Adult websites,Russia,South Africa,Mobile,Weekday,4122,10,1,Fraud
7419,Clothing stores,Australia,Australia,Mobile,Weekday,8548,2,0,No Fraud
12474,Taxi services,France,France,Mobile,Weekend,9651,1,0,No Fraud
28536,Bitcoin exchanges,Brazil,Philippines,Mobile,Weekend,3826,5,1,Fraud
26106,Liquor stores,South Africa,Vietnam,Tablet,Weekday,8850,6,1,Fraud
2810,Bakeries,South Africa,South Africa,Tablet,Weekday,2698,1,0,No Fraud
4139,Liquor stores,Mexico,Mexico,Mobile,Weekend,3374,1,0,No Fraud
10470,Bakeries,Mexico,Vietnam,Laptop,Weekend,5704,6,1,Fraud
7180,Adult websites,Australia,India,Laptop,Weekend,7132,6,1,Fraud
6341,Taxi services,France,France,Laptop,Weekday,8511,1,1,Fraud
25797,Clothing stores,Australia,Philippines,Laptop,Weekday,4945,7,1,Fraud
10330,Taxi services,China,China,Laptop,Weekday,7191,1,0,No Fraud
7713,Hotels,Argentina,Vietnam,Laptop,Weekday,7868,6,1,Fraud
16297,Bakeries,Nigeria,Philippines,Tablet,Weekend,8606,5,1,Fraud
26027,Clothing stores,Germany,South Africa,Mobile,Weekday,6120,3,1,Fraud
22839,Adult websites,France,Mexico,Tablet,Weekend,2775,5,1,Fraud
10147,Airlines,Canada,Brazil,Tablet,Weekday,7062,2,1,Fraud
6875,Grocery stores,India,India,Laptop,Weekday,3584,2,1,Fraud
16829,Bakeries,Canada,Vietnam,Laptop,Weekend,4700,1,1,Fraud
6363,Clothing stores,Germany,Germany,Mobile,Weekend,3454,1,0,No Fraud
24905,Clothing stores,Mexico,Indonesia,Laptop,Weekday,3237,6,1,Fraud
21535,Bitcoin exchanges,Russia,Vietnam,Mobile,Weekend,7818,10,1,Fraud
26592,Hotels,Argentina,Pakistan,Mobile,Weekend,8192,5,1,Fraud
21348,Taxi services,Spain,Spain,Tablet,Weekend,9541,9,1,Fraud
9671,Taxi services,United Kingdom,Vietnam,Tablet,Weekday,7787,2,1,Fraud
17572,Airlines,Australia,Mexico,Tablet,Weekend,2837,10,1,Fraud
9465,Grocery stores,Canada,Philippines,Mobile,Weekend,9321,3,1,Fraud
14008,Clothing stores,Canada,Nigeria,Tablet,Weekday,6267,4,1,Fraud
3565,Department stores,South Africa,South Africa,Laptop,Weekday,5236,2,1,Fraud
5159,Clothing stores,Spain,Spain,Tablet,Weekend,2920,2,0,No Fraud
6537,Hotels,South Africa,Pakistan,Laptop,Weekday,6994,1,1,Fraud
3312,Department stores,Argentina,Argentina,Tablet,Weekday,3813,2,0,No Fraud
14840,Bakeries,South Africa,South Africa,Mobile,Weekend,8669,1,0,No Fraud
6743,Clothing stores,Argentina,Argentina,Laptop,Weekday,4129,1,0,No Fraud
2842,Liquor stores,Argentina,Argentina,Laptop,Weekend,5324,1,0,No Fraud
21578,Airlines,Canada,Philippines,Tablet,Weekday,5728,9,1,Fraud
11139,Grocery stores,Canada,South Africa,Laptop,Weekday,6121,4,1,Fraud
6762,Department stores,United Kingdom,United Kingdom,Laptop,Weekday,5168,1,1,Fraud
14006,Department stores,Russia,Russia,Tablet,Weekday,9269,1,0,No Fraud
4956,Grocery stores,Australia,Australia,Tablet,Weekday,6289,2,0,No Fraud
15279,Liquor stores,Canada,India,Laptop,Weekday,4353,9,1,Fraud
10556,Clothing stores,South Africa,South Africa,Mobile,Weekend,8803,1,0,No Fraud
24654,Department stores,Brazil,Mexico,Tablet,Weekday,9170,9,1,Fraud
6992,Liquor stores,Argentina,Argentina,Mobile,Weekend,5682,1,0,No Fraud
13213,Bakeries,Mexico,Mexico,Mobile,Weekend,7391,1,0,No Fraud
21610,Grocery stores,South Africa,Philippines,Mobile,Weekend,6761,6,1,Fraud
13206,Department stores,Japan,Japan,Laptop,Weekday,8861,2,1,Fraud
26129,Airlines,France,Indonesia,Mobile,Weekday,9661,2,1,Fraud
26792,Hotels,Nigeria,Mexico,Laptop,Weekend,3248,2,1,Fraud
13019,Adult websites,Russia,South Africa,Mobile,Weekend,8860,8,1,Fraud
10905,Department stores,Spain,Spain,Mobile,Weekday,7744,1,0,No Fraud
5983,Grocery stores,Japan,Nigeria,Tablet,Weekday,5012,2,1,Fraud
23769,Adult websites,Russia,Brazil,Laptop,Weekend,2604,4,1,Fraud
7416,Taxi services,South Africa,South Africa,Laptop,Weekday,9712,1,1,Fraud
19777,Grocery stores,Kenya,Mexico,Laptop,Weekend,3916,4,1,Fraud
3880,Department stores,France,France,Tablet,Weekday,5824,1,0,No Fraud
26178,Grocery stores,Spain,Mexico,Tablet,Weekend,8266,5,1,Fraud
9077,Adult websites,United Kingdom,Pakistan,Laptop,Weekday,6463,4,1,Fraud
1400,Liquor stores,South Africa,South Africa,Tablet,Weekend,2673,1,0,No Fraud
11774,Adult websites,Spain,Vietnam,Tablet,Weekday,6306,9,1,Fraud
9201,Bitcoin exchanges,South Korea,Russia,Laptop,Weekend,9701,4,1,Fraud
6255,Grocery stores,South Korea,South Korea,Mobile,Weekend,3600,2,0,No Fraud
12271,Department stores,South Korea,Nigeria,Tablet,Weekend,9772,8,1,Fraud
4741,Department stores,South Africa,South Africa,Tablet,Weekend,2614,2,0,No Fraud
4630,Clothing stores,Spain,Spain,Mobile,Weekday,2438,2,0,No Fraud
4921,Department stores,Russia,Russia,Laptop,Weekend,2880,1,1,Fraud
4780,Grocery stores,Kenya,Kenya,Mobile,Weekend,2706,1,0,No Fraud
29204,Liquor stores,Russia,Philippines,Tablet,Weekend,6407,1,1,Fraud
6150,Grocery stores,Spain,Russia,Mobile,Weekend,3580,1,1,Fraud
2135,Department stores,America,America,Mobile,Weekend,4251,2,0,No Fraud
29082,Adult websites,South Korea,Nigeria,Mobile,Weekday,4616,4,1,Fraud
25155,Grocery stores,France,India,Laptop,Weekday,7285,2,1,Fraud
3864,Liquor stores,South Korea,South Korea,Tablet,Weekday,4677,1,0,No Fraud
21625,Hotels,Brazil,Mexico,Laptop,Weekday,4681,4,1,Fraud
12008,Bakeries,South Africa,Mexico,Tablet,Weekend,5635,5,1,Fraud
26476,Clothing stores,Australia,Philippines,Tablet,Weekend,2336,9,1,Fraud
10010,Clothing stores,China,China,Tablet,Weekday,9951,2,0,No Fraud
8105,Clothing stores,China,China,Mobile,Weekday,8017,1,0,No Fraud
11482,Clothing stores,Mexico,Mexico,Tablet,Weekday,2917,10,1,Fraud
13804,Clothing stores,South Africa,South Africa,Laptop,Weekend,5295,4,1,Fraud
11884,Department stores,China,China,Tablet,Weekday,9305,1,0,No Fraud
8616,Hotels,India,Mexico,Mobile,Weekend,2407,8,1,Fraud
10597,Clothing stores,Spain,Brazil,Mobile,Weekend,3678,8,1,Fraud
13704,Liquor stores,France,Vietnam,Laptop,Weekend,9599,7,1,Fraud
12279,Department stores,Australia,Australia,Mobile,Weekday,9277,2,0,No Fraud
4652,Clothing stores,Italy,Italy,Mobile,Weekend,3053,1,0,No Fraud
7059,Department stores,France,France,Mobile,Weekend,7815,1,0,No Fraud
7695,Adult websites,Russia,South Africa,Tablet,Weekend,7099,5,1,Fraud
5035,Taxi services,Italy,Brazil,Laptop,Weekday,7039,2,1,Fraud
5167,Airlines,Nigeria,Vietnam,Mobile,Weekday,5105,8,1,Fraud
3033,Department stores,Kenya,Kenya,Mobile,Weekend,2196,1,0,No Fraud
7368,Department stores,Kenya,Kenya,Laptop,Weekend,4764,2,0,No Fraud
5193,Airlines,Japan,Japan,Laptop,Weekday,9281,5,1,Fraud
13041,Hotels,Kenya,Philippines,Laptop,Weekday,5902,4,1,Fraud
5409,Hotels,Japan,Nigeria,Laptop,Weekday,7623,3,1,Fraud
18493,Adult websites,Argentina,Mexico,Mobile,Weekend,8454,7,1,Fraud
22760,Bakeries,Kenya,India,Laptop,Weekday,8811,7,1,Fraud
22359,Liquor stores,China,Mexico,Laptop,Weekend,7116,4,1,Fraud
10990,Taxi services,Kenya,Indonesia,Mobile,Weekday,2150,10,1,Fraud
14832,Hotels,Nigeria,Russia,Laptop,Weekend,3609,5,1,Fraud
17218,Grocery stores,Japan,Russia,Tablet,Weekday,3234,9,1,Fraud
12974,Bitcoin exchanges,United Kingdom,Indonesia,Laptop,Weekend,9966,6,1,Fraud
16520,Bakeries,America,South Africa,Tablet,Weekday,3930,7,1,Fraud
12300,Airlines,Nigeria,Mexico,Mobile,Weekend,8832,6,1,Fraud
9224,Department stores,America,Russia,Mobile,Weekday,7809,5,1,Fraud
5998,Grocery stores,Argentina,Argentina,Laptop,Weekend,4293,1,1,Fraud
25462,Grocery stores,South Africa,South Africa,Mobile,Weekend,7988,4,1,Fraud
17670,Grocery stores,Kenya,Nigeria,Laptop,Weekday,5374,6,1,Fraud
6698,Taxi services,Brazil,Brazil,Laptop,Weekday,3993,1,1,Fraud
3895,Liquor stores,America,America,Laptop,Weekend,3273,2,1,Fraud
4136,Clothing stores,America,America,Mobile,Weekend,7394,1,0,No Fraud
5455,Department stores,South Korea,South Korea,Mobile,Weekday,3577,1,0,No Fraud
12451,Airlines,United Kingdom,Mexico,Tablet,Weekday,4612,6,1,Fraud
7679,Liquor stores,South Korea,South Korea,Mobile,Weekday,9664,1,0,No Fraud
2493,Department stores,Mexico,Mexico,Tablet,Weekend,2151,2,0,No Fraud
19434,Bitcoin exchanges,United Kingdom,Nigeria,Mobile,Weekday,3076,1,1,Fraud
22586,Liquor stores,Spain,India,Laptop,Weekend,9890,1,1,Fraud
3258,Grocery stores,Russia,Russia,Tablet,Weekend,6512,1,0,No Fraud
8453,Taxi services,India,India,Laptop,Weekend,7269,2,0,No Fraud
2743,Clothing stores,India,India,Tablet,Weekend,4949,2,0,No Fraud
14018,Clothing stores,Kenya,South Africa,Tablet,Weekend,7612,7,1,Fraud
9233,Bakeries,Argentina,Argentina,Laptop,Weekday,6854,1,0,No Fraud
3701,Bakeries,Russia,Russia,Laptop,Weekday,5040,2,0,No Fraud
21593,Liquor stores,Russia,Russia,Laptop,Weekend,6970,7,1,Fraud
4515,Liquor stores,Argentina,Argentina,Tablet,Weekday,4148,2,0,No Fraud
15105,Bakeries,Nigeria,Nigeria,Tablet,Weekend,8664,1,0,No Fraud
23285,Grocery stores,Japan,India,Mobile,Weekday,6833,9,1,Fraud
5059,Department stores,South Africa,South Africa,Mobile,Weekday,8980,2,0,No Fraud
16565,Clothing stores,Japan,Pakistan,Laptop,Weekend,4697,2,1,Fraud
6534,Taxi services,South Africa,South Africa,Mobile,Weekday,8739,3,0,No Fraud
13776,Department stores,Italy,Italy,Tablet,Weekday,8956,2,0,No Fraud
9833,Clothing stores,Russia,Philippines,Mobile,Weekend,9082,10,1,Fraud
4885,Department stores,South Korea,South Korea,Mobile,Weekend,7992,2,0,No Fraud
23308,Grocery stores,China,Brazil,Tablet,Weekday,4718,10,1,Fraud
15985,Taxi services,South Africa,South Africa,Laptop,Weekday,3712,5,1,Fraud
23102,Liquor stores,Russia,Philippines,Tablet,Weekend,2941,5,1,Fraud
9602,Adult websites,Mexico,South Africa,Tablet,Weekday,6934,10,1,Fraud
21910,Airlines,South Korea,Russia,Tablet,Weekday,4711,7,1,Fraud
26166,Liquor stores,Kenya,South Africa,Tablet,Weekday,8842,4,1,Fraud
11929,Airlines,Nigeria,Philippines,Mobile,Weekday,7251,7,1,Fraud
17259,Grocery stores,Russia,India,Mobile,Weekend,3249,2,1,Fraud
21546,Clothing stores,Australia,Nigeria,Tablet,Weekday,6452,4,1,Fraud
2700,Liquor stores,Argentina,Argentina,Laptop,Weekend,4549,2,1,Fraud
24476,Taxi services,France,Russia,Tablet,Weekday,7150,1,1,Fraud
27328,Clothing stores,Brazil,Brazil,Tablet,Weekday,7450,9,1,Fraud
10813,Liquor stores,Germany,Mexico,Laptop,Weekend,4935,1,1,Fraud
9916,Bakeries,Russia,Mexico,Laptop,Weekend,4817,3,1,Fraud
14289,Clothing stores,India,India,Mobile,Weekday,7571,1,0,No Fraud
18895,Clothing stores,Kenya,Brazil,Laptop,Weekend,4150,1,1,Fraud
8759,Department stores,Canada,Canada,Tablet,Weekend,7350,2,0,No Fraud
17948,Hotels,Spain,Indonesia,Tablet,Weekday,9973,5,1,Fraud
18789,Liquor stores,United Kingdom,Philippines,Mobile,Weekend,8909,4,1,Fraud
13112,Clothing stores,Russia,Russia,Mobile,Weekend,6651,2,0,No Fraud
28082,Taxi services,South Africa,South Africa,Laptop,Weekend,9778,3,1,Fraud
28715,Liquor stores,South Korea,South Africa,Mobile,Weekday,3839,7,1,Fraud
12957,Grocery stores,South Africa,Vietnam,Laptop,Weekend,3480,8,1,Fraud
19844,Bitcoin exchanges,Italy,Pakistan,Laptop,Weekend,3515,1,1,Fraud
12778,Department stores,Argentina,Argentina,Laptop,Weekend,7432,1,0,No Fraud
21693,Adult websites,Kenya,Pakistan,Mobile,Weekend,7773,3,1,Fraud
20828,Department stores,Kenya,South Africa,Mobile,Weekday,5336,2,1,Fraud
8505,Bakeries,India,India,Tablet,Weekday,6094,2,0,No Fraud
7599,Bakeries,France,France,Tablet,Weekend,5111,1,0,No Fraud
11362,Clothing stores,South Korea,Brazil,Tablet,Weekday,7934,1,1,Fraud
7022,Clothing stores,Spain,Spain,Tablet,Weekend,5040,2,0,No Fraud
3007,Clothing stores,Canada,Canada,Mobile,Weekend,2001,1,0,No Fraud
9607,Bakeries,Japan,Japan,Laptop,Weekday,7663,1,0,No Fraud
12490,Adult websites,Brazil,Indonesia,Mobile,Weekend,7021,10,1,Fraud
16459,Liquor stores,France,Nigeria,Laptop,Weekend,3357,5,1,Fraud
7143,Grocery stores,Brazil,Brazil,Mobile,Weekday,4796,1,0,No Fraud
27028,Taxi services,Spain,South Africa,Laptop,Weekday,8315,2,1,Fraud
6871,Adult websites,South Africa,Philippines,Mobile,Weekend,5487,2,1,Fraud
12461,Taxi services,Spain,Vietnam,Laptop,Weekend,6530,9,1,Fraud
10451,Hotels,Kenya,Brazil,Mobile,Weekend,6825,7,1,Fraud
17995,Taxi services,Russia,Russia,Tablet,Weekend,9270,1,0,No Fraud
18397,Adult websites,Italy,Italy,Laptop,Weekday,6363,8,1,Fraud
13063,Taxi services,France,Brazil,Mobile,Weekday,2970,2,1,Fraud
16565,Bakeries,Brazil,India,Laptop,Weekday,8443,10,1,Fraud
23548,Hotels,Nigeria,Vietnam,Tablet,Weekday,6441,8,1,Fraud
10942,Bitcoin exchanges,Argentina,Philippines,Tablet,Weekday,8090,9,1,Fraud
14856,Adult websites,South Africa,Brazil,Tablet,Weekday,4198,3,1,Fraud
19574,Taxi services,Germany,Germany,Laptop,Weekday,2572,7,1,Fraud
9077,Bakeries,Kenya,Indonesia,Mobile,Weekend,8961,10,1,Fraud
6754,Bakeries,Kenya,Kenya,Mobile,Weekday,6746,3,0,No Fraud
12395,Grocery stores,China,China,Laptop,Weekday,6950,2,0,No Fraud
26883,Airlines,America,Pakistan,Tablet,Weekend,3510,2,1,Fraud
25700,Grocery stores,Mexico,Russia,Laptop,Weekend,3544,8,1,Fraud
25120,Bakeries,United Kingdom,Pakistan,Mobile,Weekend,3108,6,1,Fraud
12077,Bakeries,Italy,Philippines,Mobile,Weekday,3640,6,1,Fraud
12804,Bakeries,Japan,Japan,Tablet,Weekend,6811,2,0,No Fraud
12100,Grocery stores,Spain,Vietnam,Tablet,Weekend,2068,6,1,Fraud
11230,Airlines,America,Pakistan,Mobile,Weekday,9062,9,1,Fraud
